"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "XML", "JSON", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"/home/gustavo/dev/sasgl/app/old-dashboard/page.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 0, 25, 150
"/home/gustavo/dev/sasgl/app/page.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"/home/gustavo/dev/sasgl/app/register/page.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/home/gustavo/dev/sasgl/app/tournaments/page.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/home/gustavo/dev/sasgl/app/utils/checkSession.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"/home/gustavo/dev/sasgl/app/utils/logout.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 3, 4, 15
"/home/gustavo/dev/sasgl/cors.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"/home/gustavo/dev/sasgl/jsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/gustavo/dev/sasgl/next.config.mjs", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 2, 20
"/home/gustavo/dev/sasgl/package-lock.json", "JSON", 0, 0, 0, 0, 4201, 0, 0, 0, 1, 4202
"/home/gustavo/dev/sasgl/package.json", "JSON", 0, 0, 0, 0, 27, 0, 0, 0, 1, 28
"/home/gustavo/dev/sasgl/postcss.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/home/gustavo/dev/sasgl/public/file.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/gustavo/dev/sasgl/public/globe.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/gustavo/dev/sasgl/public/next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/gustavo/dev/sasgl/public/vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/gustavo/dev/sasgl/public/window.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"Total", "-", 7, 3508, 23, 5, 4242, 3885, 35, 152, 812, 12669
